('148', '-', 'The Great Escape', '(1963) -', 'Starring:', 'John Sturges (dir.), Steve McQueen, James Garner', '8.149749320741815')
('149', '-', 'Rashômon', '(1950) -', 'Starring:', 'Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô', '8.148136389681587')
('150', '-', 'Jurassic Park', '(1993) -', 'Starring:', 'Steven Spielberg (dir.), Sam Neill, Laura Dern', '8.14599600903287')
('151', '-', 'Kill Bill: Vol 1', '(2003) -', 'Starring:', 'Quentin Tarantino (dir.), Uma Thurman, David Carradine', '8.144915806352774')
('152', '-', 'No Country for Old Men', '(2007) -', 'Starring:', 'Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem', '8.14177246899985')
('153', '-', 'Finding Nemo', '(2003) -', 'Starring:', 'Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres', '8.141725234570025')
('154', '-', 'Raging Bull', '(1980) -', 'Starring:', 'Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty', '8.138622566878029')
('155', '-', 'V for Vendetta', '(2005) -', 'Starring:', 'James McTeigue (dir.), Hugo Weaving, Natalie Portman', '8.138063057728713')
('156', '-', 'The Elephant Man', '(1980) -', 'Starring:', 'David Lynch (dir.), Anthony Hopkins, John Hurt', '8.13806221895393')
('157', '-', 'Gone with the Wind', '(1939) -', 'Starring:', 'Victor Fleming (dir.), Clark Gable, Vivien Leigh', '8.137044852508277')
('158', '-', 'Chinatown', '(1974) -', 'Starring:', 'Roman Polanski (dir.), Jack Nicholson, Faye Dunaway', '8.135301993919919')
('159', '-', 'Inside Out', '(2015) -', 'Starring:', 'Pete Docter (dir.), Amy Poehler, Bill Hader', '8.134060884926045')
('160', '-', 'Lock, Stock and Two Smoking Barrels', '(1998) -', 'Starring:', 'Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher', '8.131882327664096')
('161', '-', 'The Thing', '(1982) -', 'Starring:', 'John Carpenter (dir.), Kurt Russell, Wilford Brimley', '8.13140029964205')
('162', '-', 'Dial M for Murder', '(1954) -', 'Starring:', 'Alfred Hitchcock (dir.), Ray Milland, Grace Kelly', '8.124760949770904')
('163', '-', 'El secreto de sus ojos', '(2009) -', 'Starring:', 'Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil', '8.123578052892263')
('164', '-', 'Hauru no ugoku shiro', '(2004) -', 'Starring:', 'Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura', '8.12352097776897')
('165', '-', 'The Bridge on the River Kwai', '(1957) -', 'Starring:', 'David Lean (dir.), William Holden, Alec Guinness', '8.121341384411892')
('166', '-', 'Trainspotting', '(1996) -', 'Starring:', 'Danny Boyle (dir.), Ewan McGregor, Ewen Bremner', '8.118520031277264')
('167', '-', 'Three Billboards Outside Ebbing, Missouri', '(2017) -', 'Starring:', 'Martin McDonagh (dir.), Frances McDormand, Woody Harrelson', '8.11740803894497')
('168', '-', 'Warrior', '(2011) -', 'Starring:', "Gavin O'Connor (dir.), Tom Hardy, Nick Nolte", '8.116989371340118')
('169', '-', 'Gran Torino', '(2008) -', 'Starring:', 'Clint Eastwood (dir.), Clint Eastwood, Bee Vang', '8.114891009518548')
('170', '-', 'Fargo', '(1996) -', 'Starring:', 'Joel Coen (dir.), William H. Macy, Frances McDormand', '8.109677921550523')
('171', '-', 'Tonari no Totoro', '(1988) -', 'Starring:', 'Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka', '8.104083140229445')
('172', '-', 'Prisoners', '(2013) -', 'Starring:', 'Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal', '8.101316574811047')
('173', '-', 'Million Dollar Baby', '(2004) -', 'Starring:', 'Clint Eastwood (dir.), Hilary Swank, Clint Eastwood', '8.097803970857546')
('174', '-', 'Blade Runner', '(1982) -', 'Starring:', 'Ridley Scott (dir.), Harrison Ford, Rutger Hauer', '8.094793308726286')
('175', '-', 'Catch Me If You Can', '(2002) -', 'Starring:', 'Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks', '8.094586511958122')
('176', '-', 'The Gold Rush', '(1925) -', 'Starring:', 'Charles Chaplin (dir.), Charles Chaplin, Mack Swain', '8.094222364309243')
('177', '-', 'On the Waterfront', '(1954) -', 'Starring:', 'Elia Kazan (dir.), Marlon Brando, Karl Malden', '8.092398369999575')
('178', '-', 'Bacheha-Ye aseman', '(1997) -', 'Starring:', 'Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian', '8.090730450366129')
('179', '-', 'Harry Potter and the Deathly Hallows: Part 2', '(2011) -', 'Starring:', 'David Yates (dir.), Daniel Radcliffe, Emma Watson', '8.090029371749289')
('180', '-', 'The Third Man', '(1949) -', 'Starring:', 'Carol Reed (dir.), Orson Welles, Joseph Cotten', '8.088809450994344')
('181', '-', 'Gone Girl', '(2014) -', 'Starring:', 'David Fincher (dir.), Ben Affleck, Rosamund Pike', '8.0861698207329')
('182', '-', '12 Years a Slave', '(2013) -', 'Starring:', 'Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams', '8.085594525725103')
('183', '-', 'Ben-Hur', '(1959) -', 'Starring:', 'William Wyler (dir.), Charlton Heston, Jack Hawkins', '8.085394893722876')
('184', '-', 'The General', '(1926) -', 'Starring:', 'Clyde Bruckman (dir.), Buster Keaton, Marion Mack', '8.083367767424077')
('185', '-', 'The Deer Hunter', '(1978) -', 'Starring:', 'Michael Cimino (dir.), Robert De Niro, Christopher Walken', '8.083343889066667')
('186', '-', 'Before Sunrise', '(1995) -', 'Starring:', 'Richard Linklater (dir.), Ethan Hawke, Julie Delpy', '8.081718546472406')
('187', '-', 'Smultronstället', '(1957) -', 'Starring:', 'Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson', '8.081668705172266')
('188', '-', 'In the Name of the Father', '(1993) -', 'Starring:', 'Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite', '8.080271047889047')
('189', '-', 'The Grand Budapest Hotel', '(2014) -', 'Starring:', 'Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham', '8.07850018116634')
('190', '-', 'Mr Smith Goes to Washington', '(1939) -', 'Starring:', 'Frank Capra (dir.), James Stewart, Jean Arthur', '8.077869410533998')
('191', '-', 'Room', '(2015) -', 'Starring:', 'Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay', '8.076705094407691')
